id,amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,recorded_by,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group
37350,0.0,2013-02-20,116.0,1309,155.0,36.29176128,-5.24231281,45426,0,0,10750.0,8,21,5,41,1753,860,2,0,8.0,30.0,0,2002,3,1,0,7,4,0,2,6,2,3,3,5,3,1,1,1
65738,5.0,2013-12-03,1443.0,1564,483.0,35.6124173,-3.35116762,840,0,0,2127.0,0,24,30,27,1794,200,2,0,8.0,413.0,1,2002,3,1,0,7,4,4,5,6,2,1,1,6,4,1,1,1
3271,0.0,2012-10-29,508.0,0,443.0,32.86178245,-3.92819891,3458,0,0,19369.0,19,14,1,94,334,0,2,0,8.0,1345.0,1,0,7,4,2,7,4,0,2,6,2,1,1,3,0,0,1,1
42658,0.0,2012-11-05,1893.0,0,1964.0,33.12453405,-4.85766882,43411,0,3,3061.0,19,14,3,124,423,0,2,0,8.0,1345.0,1,0,0,0,1,7,4,0,2,6,2,3,3,7,5,0,4,3
67523,20.0,2013-03-13,1443.0,1537,483.0,35.66507527,-3.34770932,18888,0,0,7008.0,0,24,30,27,1794,300,2,0,8.0,774.0,1,1998,3,1,0,7,4,4,5,0,0,1,1,6,4,1,2,1
37034,500.0,2011-03-27,1962.0,1489,443.0,34.72199105,-8.86253212,43411,0,6,20565.0,3,11,4,91,369,360,2,0,9.0,2860.0,1,1978,3,1,0,10,4,3,1,6,2,1,1,6,4,1,1,1
42432,500.0,2011-07-04,1962.0,1798,443.0,34.70534261,-9.1394961,10105,0,6,16536.0,3,11,4,91,1186,45,2,0,9.0,2861.0,1,1978,3,1,0,10,4,3,1,6,2,1,1,6,4,1,1,1
27420,0.0,2011-03-14,1106.0,0,443.0,38.83713732,-4.77558442,6946,0,5,11195.0,20,4,8,68,1074,200,2,0,8.0,234.0,1,1971,3,1,0,7,4,0,2,0,0,2,2,8,6,0,1,1
707,1000.0,2013-02-22,508.0,1642,309.0,37.65808091,-3.7238624,15054,3,5,1970.0,6,3,2,84,198,45,2,0,9.0,906.0,0,1972,3,1,0,10,4,3,1,6,2,1,1,8,6,0,1,1
48489,0.0,2011-02-27,1268.0,362,443.0,37.47632192,-6.28331307,43411,0,8,13723.0,11,5,6,83,280,1,2,0,8.0,331.0,1,1984,3,1,0,7,4,0,2,6,2,2,2,6,4,1,1,1
51008,0.0,2011-03-30,294.0,0,385.0,33.32603356,-8.88128573,45139,0,2,3090.0,10,12,2,60,2048,0,2,0,8.0,1345.0,0,0,3,1,0,11,4,5,3,6,2,0,0,6,4,1,1,1
72562,50.0,2013-02-06,680.0,128,833.0,40.04071287,-10.49203103,43828,0,7,21354.0,12,99,1,77,1568,400,2,0,8.0,2055.0,1,2006,14,10,5,7,4,4,5,6,2,1,1,3,0,0,2,1
10275,0.0,2011-03-19,508.0,216,443.0,38.72134804,-5.17252308,34152,0,5,10960.0,20,4,3,80,1664,120,2,0,8.0,1345.0,0,1983,4,2,1,7,4,0,2,6,2,2,2,7,5,0,4,3
53540,0.0,2012-10-12,2107.0,0,2290.0,33.14491487,-3.71753771,16499,0,4,5576.0,17,17,3,104,2044,0,2,0,8.0,753.0,1,0,9,6,3,7,4,0,2,6,2,1,1,3,0,0,2,1
43291,0.0,2011-08-14,1561.0,0,1723.0,33.33199615,-2.70336413,40332,0,4,18084.0,13,19,4,45,1635,0,2,0,8.0,1345.0,1,0,15,11,1,7,4,0,2,7,5,0,0,7,5,0,4,3
8813,0.0,2011-07-28,1091.0,0,443.0,33.13082951,-3.22665421,4956,0,4,4305.0,13,19,4,45,243,0,2,0,8.0,648.0,1,0,14,10,5,7,4,4,5,6,2,1,1,2,4,1,2,1
62343,0.0,2011-04-03,508.0,0,305.0,33.62516779,-8.86101931,1078,0,6,3087.0,10,12,2,60,390,0,2,0,8.0,1345.0,1,0,3,1,0,11,4,5,3,6,2,0,0,6,4,1,1,1
1649,0.0,2012-10-15,1127.0,0,1319.0,32.35815302,-4.96546043,5596,0,3,20521.0,19,14,3,124,1998,0,2,0,8.0,1345.0,1,0,4,2,1,7,4,5,3,6,2,1,1,3,0,0,4,3
8822,50.0,2013-03-04,659.0,1010,760.0,37.70648416,-4.00583487,34694,0,5,6408.0,6,3,3,101,1648,180,2,0,12.0,2141.0,1,2007,14,10,5,7,4,4,5,4,4,2,2,3,0,0,1,1
10352,0.0,2011-04-12,1496.0,0,1614.0,33.66386327,-8.98179247,14208,0,6,11172.0,10,12,2,60,2016,0,2,0,8.0,1345.0,0,0,3,1,0,11,4,5,3,6,2,1,1,6,4,1,1,1
50878,0.0,2012-10-16,508.0,0,638.0,33.77857064,-3.06340514,38496,0,4,15186.0,17,17,2,58,40,0,2,0,12.0,1435.0,0,0,3,1,0,4,0,3,1,6,2,1,1,0,1,1,1,1
15266,0.0,2011-07-23,648.0,0,457.0,33.58724528,-9.16743357,15265,0,1,7428.0,10,12,4,100,793,0,2,0,8.0,645.0,1,0,3,1,0,7,4,0,2,6,2,1,1,8,6,0,1,1
51956,0.0,2011-03-18,508.0,1190,443.0,38.4236917,-4.6312447,43828,0,5,20802.0,20,4,1,52,1301,1,2,0,8.0,1928.0,1,1974,3,1,0,7,4,0,2,6,2,1,1,8,6,0,1,1
44099,1500.0,2013-02-09,294.0,642,385.0,37.12085919,-10.78502855,35068,0,7,16846.0,16,10,1,120,860,1,2,0,8.0,1345.0,0,1992,15,11,1,7,4,3,1,6,2,2,2,3,0,0,4,3
59,0.0,2012-10-15,388.0,0,443.0,33.59072198,-3.71955244,10835,0,0,19399.0,17,17,8,40,1952,0,2,0,8.0,2125.0,1,0,3,1,0,7,4,4,5,6,2,2,2,8,6,0,2,1
51359,0.0,2013-01-19,698.0,-5,443.0,39.56082776,-9.13206159,40567,0,7,13673.0,7,80,13,37,1773,530,2,0,8.0,2322.0,0,2002,14,10,5,7,4,6,6,6,2,4,4,3,0,0,2,1
15962,0.0,2011-08-01,574.0,0,722.0,0.0,-2e-08,1330,0,4,17876.0,13,19,6,15,1727,0,2,0,8.0,193.0,1,0,9,6,3,7,4,6,6,7,5,0,0,3,0,0,6,5
17853,0.0,2011-08-07,574.0,1226,443.0,33.06230846,-1.82664599,8435,0,4,8006.0,13,19,1,121,142,1200,2,0,8.0,1345.0,1,1999,3,1,0,7,4,0,2,6,2,2,2,8,6,0,5,4
42040,0.0,2013-03-30,508.0,1387,638.0,37.55433946,-3.28942377,28381,0,5,5367.0,6,3,4,73,1044,1,2,0,9.0,1443.0,1,1970,3,1,0,10,4,0,2,6,2,2,2,8,6,0,1,1
72243,0.0,2013-02-12,294.0,805,385.0,35.99024647,-10.53404797,13337,0,6,15918.0,16,10,5,86,1375,250,2,0,10.0,1345.0,0,1990,15,11,1,11,4,5,3,6,2,1,1,7,5,0,4,3
63653,0.0,2013-03-28,2107.0,1544,443.0,36.61868919,-3.29203785,42560,0,5,49.0,0,2,2,0,1767,200,2,0,8.0,1633.0,1,2004,3,1,0,7,4,0,2,6,2,2,2,8,6,0,1,1
26510,0.0,2012-10-13,2109.0,0,2297.0,33.77914543,-3.32682925,44595,0,0,4214.0,17,17,2,58,113,0,2,0,10.0,1345.0,0,0,8,5,1,11,4,1,4,6,2,1,1,7,5,0,4,3
72053,0.0,2011-08-01,258.0,0,1994.0,30.50096464,-2.59036242,38541,0,4,8022.0,4,18,30,89,949,0,2,0,8.0,1345.0,0,0,3,1,0,7,4,0,2,6,2,2,2,8,6,0,6,5
29351,500.0,2012-10-19,1410.0,1369,652.0,34.25333419,-1.20066603,43898,0,4,19887.0,9,20,6,118,263,560,2,0,8.0,2409.0,1,2011,0,0,1,7,4,3,1,6,2,1,1,7,5,0,4,3
51897,0.0,2013-01-29,648.0,1584,457.0,34.85944848,-4.97090922,35281,0,0,10258.0,18,13,2,109,1430,1,2,0,8.0,1345.0,1,1990,9,6,3,7,4,6,6,7,5,0,0,7,5,0,6,5
20376,2400.0,2011-03-04,294.0,1609,443.0,35.10908924,-8.18809279,45683,0,6,9589.0,3,11,2,79,321,0,2,0,8.0,1345.0,1,0,15,11,1,7,4,2,0,6,2,1,1,1,0,0,4,3
26804,1000.0,2011-03-23,1739.0,334,443.0,36.50348726,-8.55105463,35534,0,6,4025.0,11,5,4,122,402,230,2,0,8.0,1345.0,1,2010,8,5,1,7,4,3,1,6,2,1,1,7,5,0,4,3
67303,0.0,2013-03-19,508.0,1070,443.0,36.80143513,-3.45135176,18062,0,5,20749.0,0,2,2,0,1296,150,2,0,8.0,1237.0,1,1988,3,1,0,7,4,0,2,6,2,1,1,8,6,0,6,5
69780,0.0,2013-02-18,508.0,1286,479.0,37.62786033,-3.13469202,19029,0,5,5086.0,6,3,1,96,744,1,2,0,1.0,948.0,1,1962,3,1,0,0,0,3,1,6,2,2,2,8,6,0,1,1
45374,0.0,2013-02-16,385.0,0,443.0,0.0,-2e-08,32938,0,4,9954.0,13,17,1,54,1665,0,2,0,10.0,1345.0,0,0,8,5,1,11,4,6,6,6,2,1,1,7,5,0,4,3
54665,7.0,2013-03-17,487.0,1624,230.0,37.22900273,-3.18441406,19953,0,5,17131.0,6,3,5,16,955,1,2,0,11.0,1233.0,1,2008,3,1,0,9,4,4,5,6,2,1,1,8,6,0,1,1
39341,500.0,2013-02-11,508.0,1282,638.0,30.12795597,-4.24867926,24875,0,3,14063.0,5,16,2,28,1447,950,2,0,12.0,1345.0,0,1978,6,10,5,7,4,1,4,6,2,1,1,3,0,0,2,1
8869,500.0,2013-02-03,294.0,462,385.0,37.45782761,-11.20866259,27100,0,7,20566.0,16,10,1,120,1546,1,2,0,8.0,19.0,0,1986,3,1,0,7,4,3,1,6,2,1,1,6,4,1,1,1
20691,0.0,2011-04-08,809.0,0,895.0,33.16618409,-8.942157,41929,0,2,15984.0,10,12,6,62,1806,0,2,0,8.0,1345.0,0,0,8,5,1,7,4,5,3,6,2,2,2,7,5,0,4,3
19693,0.0,2013-02-19,29.0,1571,78.0,35.52646919,-4.48085439,1344,0,0,19488.0,8,21,2,17,283,221,2,0,8.0,860.0,1,2008,3,1,0,7,4,0,2,6,2,0,0,8,6,0,1,1
14321,0.0,2011-08-20,1574.0,1546,443.0,31.9968789,-8.80386259,734,0,2,8721.0,15,15,2,113,851,50,2,0,8.0,1345.0,0,1985,4,2,1,7,4,0,2,6,2,1,1,3,0,0,4,3
63059,0.0,2013-02-08,508.0,0,638.0,33.51920554,-3.13524663,33464,0,4,15484.0,17,17,2,58,1030,0,2,0,10.0,1350.0,0,0,3,1,0,11,4,4,5,6,2,2,2,3,0,0,2,1
67403,1000.0,2011-03-05,508.0,-7,443.0,39.05964828,-5.28936932,21005,0,5,6416.0,20,4,3,80,639,25,2,0,8.0,1820.0,0,2009,3,1,0,7,4,0,2,6,2,2,2,3,0,0,2,1
28912,7.0,2013-03-21,487.0,1133,230.0,37.22600343,-3.27103862,13486,0,5,18711.0,6,3,5,16,955,125,2,0,11.0,1233.0,1,2008,3,1,0,9,4,4,5,6,2,1,1,8,6,0,1,1
12549,0.0,2011-03-10,2107.0,0,634.0,35.56741628,-6.33698054,42518,0,0,10732.0,2,1,6,4,294,0,2,0,8.0,2150.0,1,0,7,4,2,7,4,4,5,6,2,1,1,3,0,0,1,1
24328,500.0,2013-03-06,508.0,900,309.0,37.59031748,-3.7304578,8883,0,5,10949.0,6,3,2,84,855,80,2,0,11.0,264.0,1,1972,3,1,0,9,4,3,1,6,2,2,2,8,6,0,6,5
13750,0.0,2012-10-28,2067.0,0,2265.0,32.0400396,-4.99156819,3531,0,3,9894.0,19,14,4,123,1446,0,2,0,8.0,1345.0,1,0,0,0,1,7,4,0,2,6,2,1,1,7,5,0,4,3
1574,0.0,2011-03-23,508.0,1237,443.0,38.46742948,-4.8647269,22203,0,5,197.0,20,4,1,52,87,1,2,0,8.0,1475.0,1,1969,3,1,0,7,4,0,2,6,2,1,1,8,6,0,1,1
44149,0.0,2011-07-08,574.0,0,443.0,31.36783688,-1.06107072,32057,0,4,951.0,4,18,7,66,565,0,2,0,8.0,1345.0,1,0,15,11,1,7,4,0,2,6,2,2,2,7,5,0,4,3
53917,0.0,2011-07-10,574.0,0,443.0,31.12892305,-1.69420356,43411,0,4,18399.0,4,18,1,26,1683,0,2,0,9.0,1171.0,1,0,3,1,0,7,4,2,0,6,2,1,1,8,6,0,1,1
22705,0.0,2013-06-03,508.0,1388,343.0,36.88065592,-3.31430939,4239,0,5,124.0,0,2,7,65,1006,98,2,0,8.0,1221.0,1,2007,3,1,0,7,4,6,6,6,2,2,2,8,6,0,1,1
66465,0.0,2012-10-25,1590.0,0,443.0,32.05069828,-3.41259554,45426,0,3,17872.0,17,17,5,9,1160,0,2,0,4.0,1345.0,1,0,3,1,0,3,2,6,6,6,2,3,3,5,3,1,1,1
15644,0.0,2011-07-26,1842.0,0,443.0,31.83376051,-1.11325712,42713,0,4,4775.0,4,18,2,7,756,0,2,0,8.0,1345.0,1,0,3,1,0,7,4,0,2,6,2,2,2,5,3,1,1,1
20773,0.0,2011-03-30,508.0,0,302.0,35.82452906,-5.30269309,9919,0,0,2686.0,2,1,1,42,270,0,2,0,8.0,403.0,0,0,7,4,2,7,4,0,2,6,2,1,1,3,0,0,1,1
33092,0.0,2011-03-22,1492.0,774,1605.0,36.96288481,-7.59517464,6257,0,6,6564.0,11,5,1,36,631,300,2,0,3.0,1345.0,1,0,3,1,0,1,1,0,2,6,2,1,1,8,6,0,1,1
54392,7500.0,2013-02-15,1451.0,677,477.0,37.47908238,-3.81858443,7720,0,5,16859.0,6,3,2,84,741,320,2,0,5.0,2261.0,0,2012,2,8,2,4,0,2,0,7,5,1,1,0,1,1,1,1
37850,50.0,2011-03-20,770.0,105,443.0,38.90647215,-6.74295268,44268,0,8,15481.0,14,6,2,29,598,1,2,0,12.0,2754.0,1,2010,7,4,2,7,4,4,5,6,2,1,1,6,4,1,2,1
5576,2000.0,2011-02-14,618.0,1764,746.0,35.77193117,-8.02782346,45683,0,6,20538.0,3,11,7,34,1405,1,2,0,8.0,1345.0,1,2008,15,11,1,7,4,0,2,6,2,1,1,3,0,0,4,3
60840,0.0,2013-02-13,1091.0,1182,443.0,35.87050076,-4.13979616,25714,0,0,19404.0,8,21,1,2,1049,72,2,0,8.0,1372.0,1,1998,3,1,0,7,4,0,2,6,2,2,2,8,6,0,1,1
9971,0.0,2011-07-16,508.0,1116,443.0,31.24387308,-6.37911714,43626,0,2,14397.0,15,15,1,75,1670,70,2,0,12.0,1926.0,1,1972,3,1,0,8,0,0,2,6,2,1,1,8,6,0,1,1
57508,300.0,2011-03-16,768.0,875,967.0,36.64437721,-6.81836802,36135,0,8,19643.0,11,5,1,36,918,350,2,0,8.0,1345.0,1,1996,8,5,1,7,4,5,3,6,2,2,2,7,5,0,4,3
25872,0.0,2012-10-18,2109.0,0,359.0,32.99693009,-4.19322784,38043,0,0,14667.0,19,14,1,94,442,0,2,0,8.0,1345.0,0,0,8,5,1,7,4,0,2,6,2,1,1,7,5,0,4,3
43978,100.0,2011-03-19,508.0,2116,340.0,33.98504961,-8.9881064,45683,0,6,10358.0,3,11,3,55,1302,0,2,0,8.0,1344.0,0,1974,3,1,0,7,4,5,3,6,2,1,1,8,6,0,1,1
38181,500.0,2011-03-12,508.0,2576,340.0,33.91513217,-9.19113626,45683,0,1,9435.0,3,11,3,55,394,0,2,0,8.0,1566.0,0,1986,3,1,0,7,4,5,3,6,2,1,1,8,6,0,1,1
24325,0.0,2011-03-14,37.0,344,1001.0,37.61832784,-6.13357212,26818,0,8,13809.0,11,5,6,83,219,20,2,0,8.0,1345.0,1,2006,9,6,3,7,4,0,2,6,2,1,1,7,5,0,4,3
2724,0.0,2011-07-12,574.0,0,672.0,31.53064308,-1.52024104,36358,0,4,10040.0,4,18,2,7,120,0,2,0,8.0,1994.0,1,0,3,1,0,7,4,0,2,6,2,2,2,6,4,1,1,1
34794,0.0,2011-07-22,508.0,1006,443.0,31.14227776,-6.61124387,20313,0,2,3289.0,15,15,1,75,1916,50,2,0,12.0,2594.0,1,1978,3,1,0,8,0,0,2,6,2,1,1,8,6,0,1,1
56525,0.0,2012-10-03,25.0,0,2198.0,32.76916953,-3.90293977,4788,0,0,4076.0,17,17,3,25,407,0,2,0,8.0,1215.0,1,0,3,1,0,7,4,4,5,6,2,1,1,8,6,0,2,1
63155,0.0,2011-07-29,1703.0,0,1780.0,31.6075471,-1.76796453,36358,0,4,6362.0,4,18,3,81,555,0,2,0,8.0,1345.0,1,0,6,10,5,7,4,0,2,6,2,1,1,8,6,0,1,1
67247,10.0,2011-03-01,457.0,1633,1035.0,37.57594115,-7.08503792,8728,0,8,13582.0,11,5,6,83,1963,60,2,0,8.0,1988.0,1,2004,3,1,0,7,4,4,5,6,2,1,1,6,4,1,1,1
23387,0.0,2013-01-26,508.0,24,443.0,38.91481877,-8.78594686,30716,0,7,13674.0,7,80,13,37,1645,390,2,0,8.0,1345.0,1,2011,8,5,1,7,4,0,2,6,2,1,1,7,5,0,4,3
17873,0.0,2012-10-19,648.0,0,457.0,32.30554915,-3.50805245,36088,0,3,13360.0,17,17,5,9,905,0,2,0,8.0,1345.0,0,0,9,6,3,6,3,6,6,7,5,4,4,9,2,2,4,3
18197,0.0,2011-06-03,809.0,1569,2166.0,34.97643178,-8.82935561,13641,0,6,17589.0,3,11,4,91,999,40,2,0,8.0,1345.0,0,2009,8,5,1,7,4,0,2,6,2,1,1,1,0,0,4,3
24834,250.0,2013-02-16,721.0,1610,866.0,30.03071578,-4.43392653,38647,0,3,4868.0,5,16,2,28,1423,650,2,0,12.0,1345.0,1,1999,3,1,0,9,4,3,1,6,2,1,1,8,6,0,1,1
4091,500.0,2011-03-08,508.0,1504,443.0,38.24442402,-4.4588915,23370,0,5,13909.0,20,4,1,52,1310,1,2,0,8.0,2491.0,1,1971,3,1,0,7,4,3,1,6,2,1,1,8,6,0,1,1
33261,0.0,2011-04-18,648.0,0,457.0,33.81466822,-9.26881883,4995,0,1,4420.0,10,12,4,100,476,0,2,0,8.0,2425.0,1,0,3,1,0,7,4,6,6,6,2,4,4,8,6,0,1,1
44384,20.0,2013-02-07,2011.0,1721,2148.0,35.02234242,-4.18404892,35373,0,0,12474.0,8,21,3,63,273,192,2,0,8.0,29.0,1,1994,14,10,5,7,4,4,5,6,2,1,1,3,0,0,1,1
62096,0.0,2012-12-10,1867.0,0,1956.0,32.94718642,-4.99483567,17475,0,3,10487.0,19,14,6,115,443,0,2,0,8.0,1345.0,1,0,9,6,3,7,4,0,2,6,2,0,0,7,5,0,6,5
64554,100.0,2013-03-15,1.0,78,2.0,39.08342696,-7.0035038,19826,0,8,13771.0,1,7,2,20,154,250,2,0,5.0,1345.0,0,2010,14,10,5,4,0,4,5,6,2,1,1,1,0,0,1,1
68314,1000.0,2011-03-01,294.0,1620,384.0,35.56771838,-7.94158325,45683,0,6,6916.0,3,11,1,24,1369,1,2,0,8.0,1828.0,1,1982,3,1,0,7,4,3,1,6,2,1,1,8,6,0,1,1
53,50.0,2013-04-04,508.0,1414,443.0,36.67432678,-3.35742512,17001,0,5,19123.0,0,2,2,0,728,200,2,0,8.0,2009.0,1,2000,3,1,0,7,4,4,5,6,2,2,2,8,6,0,1,1
23426,0.0,2011-04-04,648.0,0,457.0,33.91187132,-9.34663784,4752,0,1,4020.0,10,12,4,100,434,0,2,0,8.0,645.0,1,0,3,1,0,7,4,0,2,6,2,1,1,8,6,0,1,1
38259,0.0,2013-01-29,1292.0,1982,1460.0,31.63874388,-8.11393053,43114,0,3,12357.0,15,15,4,114,1786,0,2,0,8.0,1795.0,1,1984,3,1,0,7,4,0,2,6,2,0,0,6,4,1,1,1
16631,100.0,2013-03-01,294.0,876,385.0,36.00884449,-10.73030401,13581,0,7,6239.0,16,10,5,86,1270,200,2,0,10.0,1345.0,0,1998,15,11,1,11,4,3,1,6,2,2,2,7,5,0,4,3
43162,0.0,2013-01-27,648.0,1623,457.0,34.85774806,-4.96565066,33356,0,0,10258.0,18,13,2,109,1430,25,2,0,1.0,1202.0,1,2000,14,10,5,0,0,0,2,6,2,2,2,3,0,0,1,1
44492,0.0,2011-07-10,574.0,0,443.0,31.45209393,-1.45098903,17468,0,4,8549.0,4,18,2,7,1821,0,2,0,8.0,1345.0,1,0,15,11,1,7,4,0,2,6,2,2,2,7,5,0,4,3
38884,0.0,2012-10-14,1596.0,0,443.0,33.66932264,-3.66413309,44315,0,0,14877.0,17,17,8,40,2005,0,2,0,8.0,1345.0,0,0,3,1,0,7,4,6,6,6,2,2,2,6,4,1,2,1
